Start Ip,End Ip,Country Code,Country,Region,City
20350208,20350719,VN,VIET NAM,DAK LAK,HA NOI,
20347136,20347647,VN,VIET NAM,DAK LAK,HA NOI,
20352000,20352255,VN,VIET NAM,DAK LAK,HA NOI,
20360704,20361215,VN,VIET NAM,DAK LAK,HA NOI,
20358144,20360447,VN,VIET NAM,DAK LAK,HA NOI,
20352512,20357375,VN,VIET NAM,DAK LAK,HA NOI,
20337920,20338175,VN,VIET NAM,DAK LAK,HA NOI,
20336384,20336639,VN,VIET NAM,DAK LAK,HA NOI,
20334848,20335103,VN,VIET NAM,DAK LAK,HA NOI,
20339712,20341247,VN,VIET NAM,DAK LAK,HA NOI,
20406016,20406527,VN,VIET NAM,DAK LAK,HA NOI,
20344832,20346879,VN,VIET NAM,DAK LAK,HA NOI,
20341504,20343039,VN,VIET NAM,DAK LAK,HA NOI,
20379392,20387327,VN,VIET NAM,DAK LAK,HA NOI,
20378880,20379135,VN,VIET NAM,DAK LAK,HA NOI,
20377088,20378623,VN,VIET NAM,DAK LAK,HA NOI,
20387584,20397311,VN,VIET NAM,DAK LAK,HA NOI,
20402944,20404991,VN,VIET NAM,DAK LAK,HA NOI,
20402432,20402687,VN,VIET NAM,DAK LAK,HA NOI,
20397568,20402175,VN,VIET NAM,DAK LAK,HA NOI,
20363264,20364287,VN,VIET NAM,DAK LAK,HA NOI,
20362496,20363007,VN,VIET NAM,DAK LAK,HA NOI,
20361472,20361983,VN,VIET NAM,DAK LAK,HA NOI,
20367104,20368895,VN,VIET NAM,DAK LAK,HA NOI,
20375296,20376063,VN,VIET NAM,DAK LAK,HA NOI,
20372992,20374271,VN,VIET NAM,DAK LAK,HA NOI,
20371456,20372223,VN,VIET NAM,DAK LAK,HA NOI,
20334336,20334591,VN,VIET NAM,DAK LAK,HA NOI,
20309504,20309759,VN,VIET NAM,DAK LAK,HA NOI,
20406784,20411903,VN,VIET NAM,DAK LAK,HA NOI,
20308992,20309247,VN,VIET NAM,DAK LAK,HA NOI,
20310016,20310271,VN,VIET NAM,DAK LAK,HA NOI,
20291840,20292095,VN,VIET NAM,DAK LAK,HA NOI,
20317440,20318719,VN,VIET NAM,DAK LAK,HA NOI,
20310528,20314367,VN,VIET NAM,DAK LAK,HA NOI,
20294656,20295423,VN,VIET NAM,DAK LAK,HA NOI,
20295680,20300031,VN,VIET NAM,DAK LAK,HA NOI,
20300288,20301055,VN,VIET NAM,DAK LAK,HA NOI,
20301824,20303871,VN,VIET NAM,DAK LAK,HA NOI,
20293632,20294143,VN,VIET NAM,DAK LAK,HA NOI,
20307968,20308223,VN,VIET NAM,DAK LAK,HA NOI,
20305664,20306175,VN,VIET NAM,DAK LAK,HA NOI,
20322048,20322303,VN,VIET NAM,DAK LAK,HA NOI,
20284416,20286207,VN,VIET NAM,DAK LAK,HA NOI,
20327680,20327935,VN,VIET NAM,DAK LAK,HA NOI,
20287744,20287999,VN,VIET NAM,DAK LAK,HA NOI,
20405248,20405759,VN,VIET NAM,DAK LAK,HA NOI,
20331008,20331519,VN,VIET NAM,DAK LAK,HA NOI,
20328448,20329471,VN,VIET NAM,DAK LAK,HA NOI,
20289280,20291071,VN,VIET NAM,DAK LAK,HA NOI,
20291328,20291583,VN,VIET NAM,DAK LAK,HA NOI,
20327168,20327423,VN,VIET NAM,DAK LAK,HA NOI,
20338176,20338431,VN,VIET NAM,HAI DUONG,HAI DUONG,
20406528,20406783,VN,VIET NAM,HAI PHONG,HAIPHONG,
20447232,20484607,CN,CHINA,HEILONGJIANG,HARBIN,
20493056,20971519,CN,CHINA,HEILONGJIANG,HARBIN,
20484864,20492543,CN,CHINA,HEILONGJIANG,HARBIN,
20150272,20152319,CN,CHINA,ANHUI,HEFEI,
16793600,16798207,JP,JAPAN,HIROSHIMA,HIROSHIMA-SHI,
16805888,16809983,JP,JAPAN,HIROSHIMA,HIROSHIMA-SHI,
16798464,16805631,JP,JAPAN,HIROSHIMA,HIROSHIMA-SHI,
19184384,19193599,HK,HONG KONG,HONG KONG (SAR),HONG KONG,
19168000,19184127,HK,HONG KONG,HONG KONG (SAR),HONG KONG,
19136512,19138815,HK,HONG KONG,HONG KONG (SAR),HONG KONG,
19139072,19167743,HK,HONG KONG,HONG KONG (SAR),HONG KONG,
18874368,18939903,HK,HONG KONG,HONG KONG (SAR),HONG KONG,
21016320,21017343,HK,HONG KONG,HONG KONG (SAR),HONG KONG,
20971520,21016063,HK,HONG KONG,HONG KONG (SAR),HONG KONG,
19193856,19202047,HK,HONG KONG,HONG KONG (SAR),HONG KONG,
21017600,21102591,HK,HONG KONG,HONG KONG (SAR),HONG KONG,
18316544,18317567,IN,INDIA,ANDHRA PRADESH,HYDERABAD,
18283776,18288639,IN,INDIA,ANDHRA PRADESH,HYDERABAD,
18295296,18295807,IN,INDIA,ANDHRA PRADESH,HYDERABAD,
18293760,18294527,IN,INDIA,ANDHRA PRADESH,HYDERABAD,
18293248,18293503,IN,INDIA,ANDHRA PRADESH,HYDERABAD,
18220544,18221055,IN,INDIA,ANDHRA PRADESH,HYDERABAD,
18296320,18296575,IN,INDIA,ANDHRA PRADESH,HYDERABAD,
18264576,18264831,IN,INDIA,MADHYA PRADESH,INDORE,
18240512,18241535,IN,INDIA,MADHYA PRADESH,INDORE,
18225664,18225919,IN,INDIA,MADHYA PRADESH,INDORE,
17368576,17368831,MY,MALAYSIA,PERAK,IPOH,
18270208,18270719,IN,INDIA,RAJASTHAN,JAIPUR,
18272000,18272255,IN,INDIA,RAJASTHAN,JAIPUR,
18339584,18339839,IN,INDIA,RAJASTHAN,JHALAWAR,
18231808,18232319,IN,INDIA,RAJASTHAN,JHALAWAR,
18222592,18222847,IN,INDIA,RAJASTHAN,JHALAWAR,
20156416,20160511,CN,CHINA,SICHUAN,JIN'AN,
20168704,20174079,CN,CHINA,SICHUAN,JIN'AN,
20174336,20185087,CN,CHINA,SICHUAN,JIN'AN,
